Wavelength (nm),Real n,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
247.97,2.48,2.2,40327.45897,-0.7344,129.6129032,5.3336,142.4363636
250.48,2.48,2.12,39923.34717,0.7522,69.66935484,3.7499,76.88207547
253.03,2.48,2.04,39521.00541,0.7923,68.05241935,3.7378,83.2254902
255.64,2.49,1.96,39117.509,1.2803,48.58232932,3.2034,63.43877551
258.3,2.49,1.89,38714.67286,1.2733,48.86345382,3.1843,68.48148148
261.02,2.49,1.84,38311.24052,1.545,37.95180723,2.8493,54.85326087
263.8,2.48,1.8,37907.50569,1.5269,38.43145161,2.8422,57.9
266.63,2.47,1.76,37505.15696,1.7299,29.96356275,2.5884,47.06818182
269.53,2.45,1.73,37101.62134,1.7079,30.28979592,2.5898,49.69942197
272.49,2.44,1.7,36698.59444,1.8637,23.61885246,2.4098,41.75294118
275.52,2.43,1.67,36295.00581,1.8435,24.13580247,2.4117,44.41317365
278.62,2.42,1.65,35891.17795,1.9517,19.35123967,2.2737,37.8
281.78,2.41,1.64,35488.67911,1.9445,19.3153527,2.2688,38.34146341
285.02,2.4,1.62,35085.25717,2.0514,14.525,2.1483,32.61111111
288.34,2.38,1.6,34681.27905,2.03,14.70588235,2.1656,35.35
291.73,2.37,1.58,34278.271,2.1124,10.86919831,2.0759,31.38607595
295.2,2.36,1.57,33875.33875,2.0817,11.79237288,2.0895,33.08917197
298.76,2.34,1.57,33471.68296,2.1337,8.816239316,2.0301,29.30573248
302.4,2.33,1.59,33068.78307,2.0934,10.15450644,2.0812,30.89308176
306.14,2.35,1.64,32664.79389,2.1377,9.034042553,2.0729,26.39634146
309.96,2.39,1.71,32262.22738,2.1312,10.82845188,2.1316,24.65497076
313.89,2.47,1.82,31858.29431,2.2314,9.659919028,2.1278,16.91208791
317.91,2.57,1.9,31455.44336,2.3711,7.739299611,2.1531,13.32105263
322.04,2.69,1.86,31052.04322,2.5926,3.620817844,2.0866,12.1827957
326.28,2.8,1.77,30648.52274,2.6659,4.789285714,2.0351,14.97740113
330.63,2.87,1.69,30245.2893,2.7702,3.477351916,1.8969,12.24260355
335.1,2.92,1.61,29841.83826,2.7696,5.150684932,1.8238,13.27950311
339.69,2.94,1.57,29438.60579,2.8112,4.380952381,1.6847,7.305732484
344.4,2.93,1.54,29036.00465,2.8074,4.184300341,1.6163,4.954545455
349.25,2.91,1.52,28632.78454,2.847,2.164948454,1.5304,0.684210526
354.24,2.89,1.52,28229.44896,2.8181,2.487889273,1.5232,0.210526316
359.38,2.87,1.59,27825.69982,2.8549,0.526132404,1.5107,4.987421384
