Wavelength (nm),Real n,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
206.63,1.264,2.472,48395.68311,-1.6864,233.4177215,4.2946,73.72977346
210.14,1.288,2.557,47587.32274,-0.1616,112.5465839,3.5619,39.29996089
213.76,1.311,2.625,46781.43713,-0.1681,112.8222731,3.6218,37.97333333
217.51,1.325,2.71,45974.89771,0.3383,74.46792453,3.4275,26.47601476
221.39,1.349,2.815,45169.1585,0.3369,75.02594514,3.523,25.15097691
225.42,1.383,2.936,44361.63606,0.6572,52.48011569,3.4737,18.3140327
229.59,1.43,3.079,43555.904,0.6808,52.39160839,3.6079,17.17765508
233.92,1.499,3.255,42749.658,0.9548,36.3042028,3.6532,12.23348694
238.42,1.599,3.484,41942.79003,1.0287,35.66604128,3.8674,11.00459242
243.1,1.802,3.795,41135.33525,1.3888,22.93007769,4.0807,7.528326746
247.96,2.273,4.084,40329.08534,1.835,19.26968764,4.3527,6.579333986
253.02,2.89,4.047,39522.56739,2.5844,10.57439446,4.232,4.571287373
258.29,3.342,3.77,38716.17174,2.9988,10.26929982,3.9257,4.129973475
263.79,3.598,3.452,37908.94272,3.3781,6.111728738,3.5303,2.26825029
269.52,3.769,3.169,37102.99792,3.5063,6.970018573,3.2272,1.836541496
275.51,3.913,2.919,36296.32318,3.7648,3.787375415,2.8837,1.20931826
281.77,4.015,2.563,35489.9386,3.8315,4.570361146,2.5269,1.408505657
288.33,3.939,2.26,34682.48188,3.835,2.640264026,2.1328,5.628318584
295.19,3.81,2.069,33876.48633,3.6868,3.233595801,1.9291,6.761720638
302.39,3.692,1.969,33069.87665,3.6404,1.397616468,1.7429,11.48298629
309.95,3.601,1.92,32263.26827,3.5243,2.129963899,1.6805,12.47395833
317.9,3.538,1.904,31456.43284,3.5283,0.274166196,1.5806,16.98529412
326.26,3.501,1.909,30650.40152,3.4665,0.985432734,1.5665,17.94133054
335.08,3.485,1.931,29843.61943,3.5166,0.906743185,1.4985,22.39772139
344.39,3.495,1.965,29036.84776,3.4993,0.123032904,1.5258,22.35114504
354.23,3.531,2.013,28230.24589,3.5955,1.826677995,1.4716,26.89518132
364.65,3.596,2.076,27423.55684,3.6367,1.131813126,1.5352,26.05009634
375.7,3.709,2.162,26616.98163,3.8002,2.458883796,1.5001,30.61517114
387.44,3.938,2.288,25810.44807,4.0322,2.392077197,1.6436,28.16433566
399.94,4.373,2.146,25003.75056,4.4843,2.545163503,1.3846,35.47996272
413.27,4.509,1.948,24197.25603,4.6269,2.614770459,1.2175,37.5
427.52,5.052,1.721,23390.71856,5.0972,0.89469517,0.8223,52.21963974
442.79,4.959,0.991,22584.0692,5.1417,3.684210526,0.021,97.88092836
459.19,4.694,0.696,21777.47773,4.8279,2.852577759,-0.278,139.9425287
476.85,4.492,0.539,20970.95523,4.6523,3.56856634,-0.5579,203.5064935
495.92,4.333,0.441,20164.54267,4.4959,3.759519963,-0.6856,255.4648526
516.58,4.205,0.371,19358.08587,4.372,3.971462545,-0.875,335.8490566
539.04,4.1,0.32,18551.49896,4.2824,4.448780488,-0.9698,403.0625
563.55,4.013,0.276,17744.65442,4.1912,4.440568154,-1.1329,510.4710145
590.38,3.94,0.24,16938.24317,4.1342,4.92893401,-1.2234,609.75
619.9,3.878,0.211,16131.63413,4.0624,4.755028365,-1.3901,758.8151659
652.53,3.826,0.179,15324.9659,4.0308,5.352848928,-1.4798,926.7039106
688.78,3.785,0.151,14518.42388,3.9699,4.885072655,-1.666,1203.311258
729.29,3.742,0.112,13711.96643,3.9499,5.555852485,-1.7757,1685.446429
774.87,3.7,0.091,12905.39058,3.8721,4.651351351,-1.9886,2285.274725
826.53,3.666,0.08,12098.77439,3.8849,5.971085652,-2.108,2735
885.57,3.614,0.0017,11292.16211,3.8223,5.763696735,-2.3818,140205.8824
953.69,3.5388,0,10485.58756,3.7559,6.134847971,-2.4955,0
1033.17,3.492,0,9678.949253,3.707,6.156930126,-2.7798,0
1127.09,3.4546,0,8872.40593,3.6835,6.625948011,-2.8924,0
1239.8,3.4232,0,8065.817067,3.6437,6.441341435,-3.3012,0
1377.56,3.3965,0,7259.21194,3.6335,6.977771235,-3.4287,0
1549.75,3.3737,0,6452.653654,3.5999,6.704804814,-4.1205,0
1771.14,3.3543,0,5646.081055,3.5977,7.256357511,-4.2692,0
2066.33,3.3378,0,4839.498047,3.569,6.926718198,-6.3742,0
