Wavelength (nm),Real n,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
203.28,2.804,1.233,49193.23101,1.1739,58.13480742,3.6004,192.0032441
210.17,2.813,1.095,47580.53005,2.0947,25.535016,1.7523,60.02739726
217.54,2.817,0.976,45968.55751,2.1191,24.77458289,1.713,75.51229508
225.45,2.808,0.856,44355.73298,2.4263,13.59330484,1.0349,20.89953271
233.96,2.787,0.74,42742.34912,2.4098,13.53426624,1.0001,35.14864865
243.14,2.764,0.63,41128.5679,2.5593,7.40593343,0.5712,9.333333333
253.06,2.722,0.544,39516.32024,2.4978,8.236590742,0.5409,0.569852941
263.83,2.674,0.479,37903.19524,2.5801,3.511593119,0.2466,48.5177453
275.56,2.629,0.43,36289.73726,2.5114,4.47318372,0.2699,37.23255814
288.37,2.597,0.402,34677.67105,2.5758,0.816326531,0.09,77.6119403
302.44,2.572,0.376,33064.40947,2.5242,1.858475894,0.1644,56.27659574
317.95,2.555,0.361,31451.48608,2.5886,1.315068493,0.1751,51.49584488
335.14,2.56,0.349,29838.27654,2.5448,0.59375,0.4776,36.84813754
354.29,2.615,0.339,28225.46501,2.516,3.78585086,2.7462,710.0884956
364.71,2.716,0.261,27419.04527,2.6232,3.416789396,3.444,1219.54023
370.15,2.664,0.167,27016.07456,3.3805,26.89564565,-1.332,897.6047904
375.76,2.675,0,26612.73153,3.2273,20.64672897,-7.5914,0
400,2.565,0,25000,2.7298,6.424951267,-2.2874,0
427.59,2.51,0,23386.88931,2.6313,4.832669323,-1.8174,0
459.26,2.471,0,21774.15843,2.5924,4.912990692,-1.8102,0
496,2.436,0,20161.29032,2.5401,4.273399015,-1.5488,0
539.13,2.408,0,18548.40206,2.5343,5.245016611,-1.6992,0
590.48,2.393,0,16935.37461,2.4947,4.249895529,0.0976,0
620,2.383,0,16129.03226,2.5075,5.224506924,-3.5352,0
688.89,2.365,0,14516.10562,2.473,4.566596195,-0.1743,0
729.41,2.359,0,13709.71059,2.4885,5.489614243,-2.5448,0
775,2.351,0,12903.22581,2.4621,4.72564866,-2.6969,0
826.67,2.346,0,12096.72542,2.4788,5.660699062,-4.081,0
885.71,2.34,0,11290.37721,2.4533,4.841880342,-4.2098,0
953.85,2.336,0,10483.82869,2.4709,5.774828767,-7.3486,0
2480,2.264,0.0001,4032.258065,2.4316,7.402826855,-1.1469,1147000
3100,2.255,0.0002,3225.806452,2.4521,8.740576497,-6.6234,3311800
