Wavelength (um),Wavelength (nm),Real n,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
0.249,249,1.8201,0.8158,40160.64257,0.3821,79.00664799,6.6166,711.0566315
0.25,250,1.823,0.8169,40000,0.884,51.50850247,5.5045,573.8278859
0.251,251,1.8258,0.8179,39840.63745,0.8703,52.33322379,5.5377,577.0632107
0.252,252,1.8284,0.8188,39682.53968,1.0321,43.55173923,5.184,533.1216414
0.253,253,1.8309,0.8196,39525.6917,1.0198,44.30061718,5.2136,536.1151781
0.254,254,1.8333,0.8204,39370.07874,1.114,39.23525882,5.0102,510.7020965
0.255,255,1.8356,0.8211,39215.68627,1.1025,39.93789497,5.0376,513.5184509
0.256,256,1.8377,0.8218,39062.5,1.1678,36.45317516,4.8981,496.0209297
0.257,257,1.8398,0.8224,38910.50584,1.1567,37.12903576,4.9239,498.723249
0.258,258,1.8417,0.823,38759.68992,1.206,34.51702232,4.8194,485.5893074
0.259,259,1.8434,0.8236,38610.03861,1.1952,35.16328523,4.844,488.1495872
0.26,260,1.845,0.8241,38461.53846,1.2343,33.100271,4.7619,477.8303604
0.261,261,1.8465,0.8246,38314.17625,1.2236,33.73409152,4.7855,480.341984
0.262,262,1.8477,0.8251,38167.93893,1.2556,32.04524544,4.7185,471.8700764
0.263,263,1.8489,0.8255,38022.81369,1.2449,32.66807291,4.7413,474.3549364
0.264,264,1.8497,0.826,37878.78788,1.2715,31.2591231,4.6855,467.251816
0.265,265,1.8506,0.8264,37735.84906,1.2608,31.87074462,4.7078,469.6757018
0.266,266,1.8512,0.8269,37593.98496,1.2832,30.68280035,4.6603,463.5868908
0.267,267,1.8516,0.8273,37453.18352,1.2723,31.28645496,4.682,465.9373867
0.268,268,1.8518,0.8278,37313.43284,1.2913,30.2678475,4.6413,460.6789079
0.269,269,1.8519,0.8284,37174.72119,1.2802,30.87099735,4.6626,462.8440367
0.27,270,1.8517,0.8289,37037.03704,1.2964,29.98865907,4.6273,458.245868
0.271,271,1.8514,0.8296,36900.369,1.2849,30.59846603,4.6482,460.2941176
0.272,272,1.8508,0.8302,36764.70588,1.2988,29.82494057,4.6174,456.1792339
0.273,273,1.85,0.831,36630.03663,1.2868,30.44324324,4.6381,458.1347774
0.274,274,1.8491,0.8319,36496.35036,1.2985,29.7766481,4.6113,454.3094122
0.275,275,1.8479,0.8328,36363.63636,1.2862,30.39666649,4.6317,456.1599424
0.276,276,1.8465,0.8339,36231.88406,1.2958,29.82399133,4.6083,452.6202183
0.277,277,1.8449,0.8351,36101.08303,1.2831,30.45151499,4.6287,454.2689498
0.278,278,1.843,0.8365,35971.22302,1.2909,29.95659251,4.6082,450.8906157
0.279,279,1.8409,0.838,35842.29391,1.2778,30.5882992,4.6288,452.3627685
0.28,280,1.8386,0.8396,35714.28571,1.2839,30.16969433,4.6111,449.202001
0.281,281,1.8361,0.8415,35587.18861,1.2701,30.82620772,4.6318,450.4218657
0.282,282,1.8333,0.8436,35460.99291,1.2747,30.4696449,4.6167,447.2617354
0.283,283,1.8304,0.8459,35335.68905,1.2604,31.14073427,4.6378,448.2681168
0.284,284,1.8272,0.8484,35211.26761,1.2635,30.85048161,4.6251,445.155587
0.285,285,1.8238,0.8513,35087.7193,1.2485,31.54402895,4.6467,445.8357806
0.286,286,1.8203,0.8544,34965.03497,1.2503,31.31351975,4.6364,442.6498127
0.287,287,1.8164,0.8578,34843.20557,1.2347,32.02488439,4.6583,443.0519935
0.288,288,1.8124,0.8615,34722.22222,1.2352,31.84727433,4.6505,439.8142774
0.289,289,1.8082,0.8656,34602.07612,1.2189,32.59042141,4.6734,439.9029575
0.29,290,1.8039,0.8701,34482.75862,1.2182,32.46854038,4.6679,436.4785657
0.291,291,1.7993,0.875,34364.26117,1.2014,33.22958928,4.6916,436.1828571
0.292,292,1.7947,0.8803,34246.57534,1.1996,33.15874519,4.6887,432.6252414
0.293,293,1.7899,0.886,34129.69283,1.1823,33.9460305,4.7135,431.9977427
0.294,294,1.785,0.8923,34013.60544,1.1794,33.92717087,4.7131,428.1967948
0.295,295,1.7801,0.899,33898.30508,1.1619,34.72838605,4.7392,427.163515
0.296,296,1.775,0.9062,33783.78378,1.1581,34.75492958,4.7412,423.1957625
0.297,297,1.7699,0.914,33670.03367,1.1402,35.57828126,4.7689,421.761488
0.298,298,1.7648,0.9223,33557.04698,1.1359,35.63576609,4.7737,417.5864686
0.299,299,1.7598,0.9312,33444.81605,1.1179,36.47573588,4.8031,415.7968213
0.3,300,1.7548,0.9407,33333.33333,1.1131,36.56826989,4.8107,411.3957691
0.301,301,1.7499,0.9508,33222.59136,1.0951,37.4192811,4.842,409.2553639
0.302,302,1.7452,0.9616,33112.58278,1.0901,37.53724501,4.8525,404.6277038
0.303,303,1.7406,0.973,33003.30033,1.0725,38.3833161,4.8856,402.1171634
0.304,304,1.7362,0.985,32894.73684,1.0677,38.50362861,4.8993,397.3908629
0.305,305,1.7322,0.9977,32786.88525,1.0506,39.34880499,4.9348,394.6176205
0.306,306,1.7285,1.011,32679.73856,1.0462,39.47353196,4.9514,389.7527201
0.307,307,1.7252,1.025,32573.2899,1.0301,40.29098076,4.989,386.7317073
0.308,308,1.7222,1.0396,32467.53247,1.0265,40.39600511,5.0087,381.7910735
0.309,309,1.7198,1.0549,32362.45955,1.0116,41.17920688,5.0488,378.6046071
0.31,310,1.7179,1.0708,32258.06452,1.0092,41.25385645,5.0715,373.6178558
0.311,311,1.7167,1.0873,32154.34084,0.996,41.98170909,5.1138,370.3209786
0.312,312,1.716,1.1044,32051.28205,0.9953,41.9988345,5.1394,365.3567548
0.313,313,1.7161,1.122,31948.88179,0.9843,42.64320261,5.184,362.0320856
