Wavelength (nm),Real n ,Imaginary k,Wave #,Calc n,Error,Calc k,Error k
206.6,1.11,3.05,48402.71055,-4.0439,464.3153153,3.2031,5.019672131
207.3,1.036,2.928,48239.26676,-2.1422,306.7760618,2.5384,13.30601093
208,1.046,2.944,48076.92308,-2.2236,312.581262,2.6043,11.53872283
208.7,1.066,2.937,47915.66842,-1.5712,247.3921201,2.3897,18.63466122
209.4,1.07,2.963,47755.49188,-1.6115,250.6074766,2.4013,18.95713804
210.1,1.083,2.982,47596.38267,-0.9699,189.5567867,2.205,26.05633803
210.9,1.088,2.987,47415.83689,-1.5673,244.0533088,2.4227,18.89186475
211.6,1.102,3.005,47258.97921,-1.0343,193.8566243,2.2692,24.48585691
212.3,1.109,3.015,47103.15591,-1.0046,190.5861136,2.2478,25.44610282
213,1.119,3.025,46948.35681,-0.5464,148.8293119,2.1439,29.12727273
213.8,1.24,3.18,46772.68475,-1.0858,187.5645161,2.31,27.35849057
214.5,1.139,3.061,46620.04662,-0.2415,121.2028095,1.9906,34.96896439
215.3,1.155,3.073,46446.81839,-0.9443,181.7575758,2.2971,25.2489424
216,1.164,3.086,46296.2963,-0.1641,114.0979381,2.0204,34.5301361
216.8,1.175,3.102,46125.46125,-0.782,166.5531915,2.2665,26.93423598
217.5,1.18,3.112,45977.01149,-0.0335,102.8389831,2.0126,35.3277635
218.3,1.195,3.135,45808.52038,-0.3725,131.1715481,2.1516,31.36842105
219.1,1.211,3.15,45641.2597,-0.5539,145.7390586,2.2658,28.06984127
219.8,1.222,3.169,45495.90537,0.0817,93.31423895,2.0094,36.59198485
220.6,1.235,3.19,45330.91568,-0.1568,112.6963563,2.1947,31.20062696
221.4,1.4,3.33,45167.11834,-0.1084,107.7428571,2.1266,36.13813814
222.2,1.265,3.228,45004.50045,0.06,95.256917,2.0249,37.27075589
223,1.28,3.245,44843.04933,-0.0259,102.0234375,2.1397,34.06163328
223.8,1.299,3.267,44682.75246,0.1224,90.57736721,2.0945,35.88919498
224.6,1.319,3.285,44523.59751,0.1145,91.3191812,2.1332,35.06240487
225.4,1.34,3.302,44365.57232,0.4716,64.80597015,2.0136,39.0187765
226.3,1.362,3.319,44189.12947,-0.0925,106.7914831,2.2697,31.61494426
